Word,Dialect
/a/,unspecified
[aβaˈðjɔ],unspecified
/aβaˈd͡ʒu/,unspecified
[aˈβat],unspecified
[aβawˈki],unspecified
[akaˈdɛmjo],unspecified
[aˈsjɛ],unspecified
/a.kus.tyˈma/,unspecified
/attiˈtyt/,unspecified
/attiβiˈtat/,Languedoc
/akyzaˈsju/,unspecified
[amministɾaˈsju],Lengadocian
[administʁaˈsjũᵑ],"Rodanenc Provençau, Niçard"
[administʁaˈsjẽᵑ],Maritim Provençau
/aˈðɾeso/,unspecified
/aɣanˈta/,unspecified
/aɣaˈri/,unspecified
/aˈɣast/,unspecified
/aˈʒi/,unspecified
/aɣraˈða/,unspecified
/aɣɾaˈðiw/,unspecified
/aˈɣreʎo/,unspecified
/aˈɣrew/,unspecified
[aɣɾikylˈtyɾo],unspecified
/aˈɣyʎo/,unspecified
[aˈɣyt],unspecified
/ˈajɡɔ/,Limousin
/ˈajɔ/,Auvergnat
/ˈajɡə/,Vivaro-Alpine
/ˈɛɡ/,Marchés
/ajˈɣaɲo̞/,Languedoc
/ajˈma/,unspecified
[ajˈral],unspecified
[ajˈzit],unspecified
/ad͡ʒuˈka/,Languedoc
[alo̞],unspecified
/albɾiˈkɔt/,unspecified
/alˈkɔl/,unspecified
[alfaˈβet],unspecified
/ˈalps/,unspecified
/alyˈka/,unspecified
[alyˈma],unspecified
[alyˈketo],unspecified
[amajˈza],unspecified
/amaˈryn/,Languedoc
[aˈmiɣo],unspecified
/aˈmuro̞/,unspecified
/anaˈʒun/,unspecified
[analiˈza],unspecified
/anatuˈmio/,unspecified
/anseˈsu/,unspecified
/anˈt͡ʃɔ.jɔ/,unspecified
/an.tʃuˈja.dɔ/,unspecified
[änt͡ʃuˈjäðɔ̝],unspecified
-adɔ,unspecified
/anˈsja/,unspecified
/aŋˈku.rɒ/,unspecified
/aˈnet/,unspecified
/aŋˈɡles/,unspecified
/aˈɲɛl/,unspecified
/aˈnuʎo/,unspecified
/anˈtɔni/,unspecified
[aˈunt],unspecified
/apaˈɾel/,Languedoc
/apaˈɾeʎ/,Gascon
/apaˈʁej/,"Provençal, Limousin"
[ˈapi],unspecified
/aˈpɾɛp/,unspecified
/a.kɛl/,unspecified
/a.kɛ.lo/,unspecified
/aˈkeste/,unspecified
[aˈraɲo],unspecified
/ˈaɾ.be/,unspecified
/aɾk/,unspecified
[aɾˈd͡ʒen],Lengadocian
[aʁˈd͡zɛ̃ⁿ],Lemosin
[ˈarjo],unspecified
/ˈarno/,unspecified
[arˈpa],unspecified
/ar.riˈma/,unspecified
[aɾˈtisto],unspecified
/as/,unspecified
[ˈaze],unspecified
/asˈpɛt.te/,unspecified
/asasiˈnat/,unspecified
[asusˈta],unspecified
/ˈastre/,unspecified
[atak],unspecified
[ataˈka],unspecified
/ataˈyk/,unspecified
/atay/,unspecified
[adʒe],unspecified
/ˈa.d͡ʒe/,unspecified
-adʒe,unspecified
[aˈtɔn],unspecified
[aˈtɔme],unspecified
[ˈawko],unspecified
/awˈsa/,unspecified
[awˈsɛl],unspecified
/au.siˈɛr.ɒ/,unspecified
[ˈawde],unspecified
/awˈɣan/,Gascon
/awˈras.sa/,unspecified
/awˈra.tʃe/,unspecified
[awˈɾeʎo],unspecified
[awstɾaˈlja],unspecified
[ˈawstrjo],unspecified
[awˈtu],unspecified
[awˈtu],unspecified
[awˈtuɾo],unspecified
[aβajˈru],unspecified
[aβeˈlano],unspecified
[aβelaˈnjɛ],unspecified
[aˈbe],unspecified
/aviˈɲũⁿ/,Provençal
/aβiˈɲu/,Languedoc
/azˈart/,unspecified
/ba.ˈbaw/,unspecified
[baˈðaw],unspecified
[baˈɣadʒe],unspecified
/ˈβaʃ/,unspecified
/ˈbaʃ/,Gascon
/baˈleno/,unspecified
/bamˈbu/,unspecified
[baɲ],unspecified
/ˈbar.kɒ/,unspecified
/ˌbaɹ.kaˈɹes/,unspecified
/baɾseˈluno/,unspecified
/baˈtɛl/,unspecified
[ˈbes],unspecified
[ˈbɛll],unspecified
/beˈlu.ɡa/,unspecified
[bembeŋˈɡyt],unspecified
[ˈbɛst.jo],unspecified
[ˈbɛs.tjos],unspecified
/ˈbewre/,unspecified
/bjajs/,unspecified
/bjeluˈɾys/,unspecified
/blat/,unspecified
/buko/,unspecified
/bukos/,unspecified
/buˈha/,Gascon
[buˈlu],unspecified
[buˈlũᵑ],Provençal
[buˈlus],unspecified
/buɾˈdɛw/,unspecified
[buɾˈðɛw],unspecified
-ɛw,unspecified
/bɔsk/,unspecified
[butaˈniko],unspecified
[ˈbɾas],unspecified
/bɾa.sa.ˈlet/,unspecified
/bɾaˈsat/,unspecified
/bɾaˈsats/,unspecified
/ˈbɾaŋko/,Languedoc
/brand/,unspecified
/bran ˈda/,unspecified
/bɾɛs/,unspecified
[bɾeˈsa],unspecified
/bɾyˈmus/,unspecified
/bɾysk/,unspecified
/ˈbjɔw/,unspecified
/kaˈβel/,unspecified
/ka.beˈstr.a/,unspecified
[ˈkaβro],unspecified
[kaβɾjuˈla],unspecified
/kaˈβɾit/,unspecified
[kaˈsa],unspecified
/kaˈdy/,unspecified
/kaˈfɛ/,unspecified
[kaɣaˈrawlo],unspecified
/ˈkai/,unspecified
[kajˈsaw],unspecified
[kajˈsaw],unspecified
/kaˈlaŋ.kɒ/,unspecified
[sɔʷˈfa],Limousin
[tsoˈfɑ],Auvergnat
[kau̯ˈha],Gascon
[tʃɔʷˈfa],Provençal
[kaʷˈfa],East Languedocien
[kalˈfa],West Languedocien
/ˈkambo/,unspecified
